Format_Numero,Candidat,Type_Erreur,Détails
19,Amelie 19,Modification,"The 'Extraction' variant has a modified degree level for the 'Lycée Louis-le-Grand' entry, changing 'French Baccalauréat' to 'Baccalauréat (Economics)'. Additionally, the 'country or city' for the 'Environmental NGO' experience is 'not found' in the 'Original' but is 'Paris' in the 'Extraction'."
19,Camille 19,Omission,"The 'Extraction' is missing the second study entry for McGill University, which is present in the 'Original'."
19,Clara 19,Modification,"The Extraction has a modification in the 'List of studies' where the dates for the 'Baccalauréat' are '2021 - 2022' instead of '2022'. Additionally, the 'List of personal interests' in the Extraction is less detailed and includes 'Sports' and 'Culture' instead of 'long-distance running' and 'economic podcasts'."
19,Hugo 19,Modification,"The 'Extraction' variant modifies the dates for the 'French Baccalauréat' from '2021' to '2020 - 2021', which is a non-overlapping, incompatible date change."
19,Ines 19,Omission,"The 'Extraction' variant omits parts of the job descriptions and personal interests present in the 'Original'. Specifically, the detailed contributions in the 'Policy Research Assistant' role and the tutoring activity in personal interests are missing."
19,Sarah 19,Modification,"The 'Extraction' variant has modified the dates for the 'French Baccalauréat' from '2022' to '2021 - 2022', which is a non-overlapping, incompatible date change."
19,Thomasl 19,Omission,"The 'Extraction' variant omits specific details from the 'Original' variant, such as the full description of professional experiences and personal interests. Additionally, the 'Extraction' variant does not include the field of study and the country or city for the education entry."
20,Amelie 20,Modification,"The 'Extraction' variant has a different date range for the 'Lycée Louis-le-Grand' education entry ('2021 - 2022' vs '2022'). Additionally, the 'Extraction' variant has a modified degree title for the same entry ('Baccalauréat (Economics)' vs 'French Baccalauréat')."
20,Camille 20,Modification,"The location for the NGO experience is 'Senegal' in the Original and 'Dakar' in the Extraction, which is coherent. However, the description of the NGO experience is significantly shortened in the Extraction, omitting details about the multicultural team, tutoring levels, and local stakeholder relations. The dates for the City Hall of Bordeaux experience are extended in the Extraction, which is not coherent with the Original. The field of study for the University of Bordeaux is missing in the Extraction, and the McGill University exchange is entirely absent."
20,Clara 20,Modification,"The Extraction has modified the dates for the 'French Baccalauréat' from '2022' to '2021 - 2022', which is a non-overlapping, incompatible date change."
20,Hugo 20,Modification,"The 'Extraction' variant modifies the 'List of personal interests' by generalizing 'Stock market investing.' to 'Investing' and 'marathon training.' to 'Sports'. Additionally, the 'Extraction' variant includes 'Paris' as the location for the 'Student Investment Fund' experience, which is 'not found' in the 'Original'. The 'Extraction' also modifies the dates for 'Lycée Saint-Louis' from '2021' to '2020 - 2021'."
20,Ines 20,Omission,"The 'Extraction' variant omits details from the 'Original' variant, such as the full description of professional experiences and personal interests. Additionally, the location for the 'Ministry of Economy and Finance' experience is missing."
20,Sarah 20,Modification,"The 'Extraction' variant has a missing company name for the 'Digital Marketing Assistant' role, and the 'French Baccalauréat' degree is labeled differently as 'Baccalauréat (Economics)'."
20,Thomasg 20,Modification,"The 'Extraction' variant has a different date range for the 'GreenMove' experience (01/2023 - 01/2026) compared to the 'Original' (January 2023 - Present). The 'Extraction' also lists the 'Baccalauréat' dates as '2020 - 2021' instead of '2021' in the 'Original'. These are non-overlapping, incompatible dates."
13,Amelie 13,Modification,"The 'Extraction' variant modifies the description of the 'Sustainability Consulting Intern' role by omitting details about benchmarking on sustainable business practices. Additionally, the 'Project Coordinator' role description is shortened, omitting details about managing project timelines, budgets, and preparing impact assessment reports. The 'List of studies' has a modification in the 'Baccalauréat' degree description, changing 'French Baccalauréat' to 'Baccalauréat (Economics)'. The 'List of personal interests' is also modified, with 'Yoga & Mindfulness' being replaced by 'Wellness'."
13,Camille 13,Omission,"The 'Extraction' is missing the second study entry for McGill University, which is present in the 'Original'."
13,Clara 13,Modification,"The 'List of personal interests' in the Extraction has been modified. 'Long-distance running' and 'economic podcasts' are missing, and 'Sports' and 'Culture' have been added. Additionally, the 'country or city' for 'emlyon Junior Conseil' is 'not found' in the Original but is 'Lyon, France' in the Extraction."
13,Ines 13,Modification,"The job title for the first experience is modified from 'Policy Research Assistant (Internship)' to 'Policy Research Assistant'. The company name for the second experience is modified from 'Public Affairs Intern' to 'Ministry of Economy and Finance'. The description for both experiences is shortened, omitting details such as 'Contributed to reports on labor market reforms and public spending efficiency' and 'Prepared briefing notes and synthesis documents for internal use'. The degree level for the second study is modified from 'French Baccalauréat' to 'Baccalauréat (Economics)'."
13,Louis 13,Modification,"The company name 'Retail Analytics Company' was modified to 'E Retail Analytics Company'. The job title 'Business Analytics Project (Academic)' was modified to 'Business Analytics Project'. The description for the 'Data Analyst Intern' role was shortened, omitting 'Presented insights to non-technical stakeholders'. The description for the 'Business Analytics Project' role was shortened, omitting 'Worked in a team to analyze sales performance for a retail chain'."
13,Sarah 13,Modification,"The 'Extraction' variant has modified the 'List of personal interests' by reducing the details. The original includes 'Personal Instagram portfolio focused on lifestyle and travel photography' and 'Strong interest in fashion, consumer trends, and contemporary art exhibitions', which are not present in the extraction."
16,Amelie 16,Modification,"The 'Extraction' variant modifies the dates for the 'French Baccalauréat' from '2022' to '2021 - 2022', which is a non-overlapping, incompatible date change. Additionally, the 'Extraction' variant simplifies the description of personal interests, omitting specific details about 'Active participation in climate-related student initiatives' and 'Yoga & Mindfulness'."
16,Camille 16,Omission,The 'Extraction' is missing the second study entry for McGill University and the detailed descriptions in personal interests.
16,Clara 16,Modification,"The Extraction has a different date for the Baccalauréat at Lycée du Parc ('2021 - 2022' vs '2022'). Additionally, the Extraction omits the 'long-distance running' and 'economic podcasts' from the personal interests."
16,Hugo 16,Modification,"The 'Extraction' variant modifies the dates for the 'French Baccalauréat' from '2021' to '2020 - 2021', which is a non-overlapping, incompatible date change."
16,Ines 16,Modification,"The job title 'Policy Research Assistant (Internship)' was modified to 'Policy Research Assistant'. The dates for the 'French Baccalauréat' were changed from '2022' to '2021 - 2022'. The description for the 'French Economic Think Tank' experience was shortened, omitting details about stakeholder interviews and policy workshops. The personal interests list was shortened, omitting 'Regular attendee of economic conferences and public policy forums.' and 'Tutor for underprivileged high school students in economics.'"
