"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"louis 40";"{""interests"":[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"{""studies"":[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""Université"",""country or city"":""Grenoble Alpes Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion Grenoble"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company Lyon"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL. Built dashboards to support marketing and pricing decisions. Presented insights to non-technical stakeholders."",""country or city"":""not found""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain. Developed forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 39";"{""interests"":[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""Université Grenoble Alpes, Grenoble"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Champollion, Grenoble"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""06/2024-09/2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""01/2024-05/2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain."",""country or city"":""Grenoble""}]"
"louis 38";"{""interests"":[""Data Visualization\n\nPersonal projects focused on transforming complex data into clear insights."",""Outdoor Sports\n\nHiking and trail running in alpine environments.""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics - Highest Honors"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL. Built dashboards to support marketing and pricing decisions. Presented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain. Developed forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 37";"{""interests"":[""Data Visualization"",""Outdoor Sports"",""Hiking and trail running in\nalpine environments.""]}";"{""studies"":[{""dates"":""2021-2024 GPA: 15.4/20 Key Courses:"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics - Highest Honors."",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL. Built dashboards to support marketing and pricing decisions. Presented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain. Developed forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 36";"[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""JUN 2024 - SEPT 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""JAN 2024 - MAY 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 35";"[""Data Visualization"",""Outdoor Sports""]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 34";"{""interests"":[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes, Grenoble"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion, Grenoble"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 33";"{""interests"":[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes, Grenoble"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion, Grenoble"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 32";"{""interests"":[""Data Visualization"",""Outdoor Sports""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""JUN 2024 - SEPT 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""JAN 2024 - MAY 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 31";"{""interests"":[""Data Visualization,"",""Outdoor Sports,""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes at Grenoble"",""country or city"":""Grenoble, Auvergne-Rhône-Alpes France"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion at Grenoble"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
